GeneID	X0108_DaB18_H_ea_4cell_0.9_r4.CEL	X0108_DaB23_H_ea_Blast_2.5_r4.CEL	X0207_DaB6_H_ea_4cell_r3.CEL	X0207_DaB7_H_ea_Blast1.CEL	X0207_DaB8_H_ea_Blast2.CEL	X0213_SueK.2.10_H_ea_002_8CE.CEL	X0307_DaB1_H_ea_oocyte_r1.CEL	X0307_DaB3_H_ea_oocyte_r3.CEL	X0307_DaB5_H_ea_4cell_r2.CEL	X0713_Suek.3.2_Ep_H_8C_006_11.CEL	X0713_Suek.3.3_Ep_H_8C_004_11.CEL	X1007_DaB21_H_ea_oocyte9856.CEL	X1007_DaB22_H_ea_oocyte9858.CEL	X1007_DaB4_H_ea_4cell_r1.CEL	X1007_DaB9_H_ea_Blast3.CEL
1	4.19023338742211	3.59219198908495	4.21857052009221	3.44121297851986	3.70395777021229	4.99261903845533	4.73464955346809	3.97656176570163	3.88006086504128	3.93921275367582	5.64436189054072	3.64182861726235	3.80433532871999	3.56397677757387	4.0960125152649
100	4.56463280673578	6.37450859978376	6.07620703525784	5.28254710979506	5.87863538929979	4.44555334184967	4.58507319781063	6.44421211540285	4.28970832484946	4.76829358150369	4.37431400281779	6.95192583051449	6.61824554255865	7.50994716932954	6.36273800869963
1000	3.38171845318782	3.24881356593586	3.7549176522623	3.24881356593586	3.1589399476539	3.82942164753874	3.3929705792069	3.09888460510326	2.97974949608282	4.28119571980142	2.35496868333007	4.4259387159958	4.74513107867131	3.175495001051	3.04238701160656
10000	3.40771920982138	3.53456532853833	3.88346448323611	3.65191824314699	3.68788261714154	3.32921716828981	3.40610112191972	3.80110357452043	3.93327011890921	3.78239079247235	3.83709756737048	4.42212001934771	4.49075668771611	3.78869488650966	3.4887801243093
100009676	5.69249244020986	6.75118894593265	6.14024593767885	5.65528454185301	5.97042343219074	5.72932478915541	6.48724351884416	6.46716708346092	5.28774385163588	5.18698127736896	3.93157226708764	4.74885329730077	4.56470010538333	6.86632311390862	6.14898172082079
10001	3.18298184845987	3.69717835766427	3.5741682006537	3.17346280351568	3.39753008925874	3.78120736531799	3.57443934338213	3.52425902538605	4.21788733751444	6.3483506388193	7.31108807961308	3.51187542783612	3.36219047915042	3.16899848859551	3.25508370318214
10002	10.9209988067125	4.09218354451643	4.01082015787642	3.73383244657194	4.01895180622233	4.14020117353584	4.2700776627927	4.4826614331954	6.4944372584073	3.7432014949116	4.11260116332226	3.45940185094919	3.87154713034961	3.75878866841869	4.33051112068314
10003	3.51048953963625	3.23983375312974	3.1579922824059	2.93538229146229	3.19959167850479	3.14796198697187	4.57672367775617	3.33923235452457	3.34047892822831	3.05168299411148	2.87271195291785	2.71546422518732	2.8655519157673	3.53406887864834	3.22350957268135
10004	4.65577726847661	4.2356057439208	5.07791604322347	4.28385456188785	4.18323876948691	5.74895595612053	4.40315404728443	4.26339181936379	5.1972633848473	5.31154136687693	3.63361277760329	4.24974170881999	4.11714246975492	4.40315404728443	4.81547012001258
100049716	4.40297439508146	4.10787971754642	4.57887564940859	3.73182420998425	3.81555970345739	4.25804919681463	4.04924270023132	4.54095878624752	4.1002119964917	5.28472321104273	3.51268590188906	4.52055501306601	4.11124785402767	4.19623752127599	4.20702151210318
10005	3.0138356637441	2.91297712032026	2.65681805771473	3.41290206929495	2.94395778889441	3.44086638362269	3.27673720704673	3.12313250042533	3.20403879785162	2.67540856572686	2.49254384913292	4.11052103256988	5.51208773817465	2.86625606436283	3.10720221082309
10006	4.01649698247419	3.91257059541305	4.07241220405398	4.29809755025284	4.70732551966394	4.37614945069849	3.64025769140508	3.94387647084078	3.28820286187159	3.40660729847207	4.16472592872975	4.14679515928939	4.14078984640909	5.32493146440474	3.52637087664063
10008	3.38751854254126	2.94549758407149	3.41600953997676	3.21221863306674	3.02307878964133	4.24545488527237	2.78321772127506	3.57619459116684	3.018295273882	2.58435295767265	3.11622270895893	3.05189669383521	2.78222877476499	2.97560557598108	3.61243263455886
10009	3.02263284569247	3.36488387867438	2.92060295642707	4.36124045362511	2.96384976626997	3.06019816767099	3.00984528849422	2.99901802482209	2.66360831267851	3.95886112933832	4.54212361748707	2.82479403376902	4.13657745421097	5.42857287653124	2.81469782595419
